Generations,Time,AvgFitness
1,0,0
2,15.04449,4734.7
3,30.06982,5338.267
4,45.08457,6095.1
5,60.10297,5407.267
6,75.13599,6483.267
7,90.15355,6031.8
8,105.1614,5933.233
9,120.2035,6158.533
